GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US05017,"Chicot County, Arkansas",10826,651,794,612,722,520,631,559,649,583,662,708,913,710,631,468,418,320,275
0500000US05019,"Clark County, Arkansas",22385,1186,1108,1244,2610,3062,1251,862,989,1310,1287,1306,1283,1294,1193,767,581,506,546
0500000US05021,"Clay County, Arkansas",15061,841,831,1055,910,842,831,784,870,912,948,1027,1053,1018,888,846,555,482,368
0500000US05023,"Cleburne County, Arkansas",25230,1159,1307,1462,1341,1206,1158,1273,1348,1265,1399,1794,1914,1907,1888,1718,1464,812,815
0500000US05025,"Cleveland County, Arkansas",8226,437,494,606,573,420,369,464,443,500,523,602,577,568,561,409,315,203,162
0500000US05027,"Columbia County, Arkansas",23892,1428,1371,1360,2306,2707,1380,1139,1245,1360,1273,1394,1417,1477,1082,1077,819,441,616
0500000US05029,"Conway County, Arkansas",20906,1238,1356,1369,1230,1121,1280,1202,1267,1155,1270,1591,1512,1384,1204,993,587,489,658
0500000US05031,"Craighead County, Arkansas",105701,7387,7533,6947,7831,8291,8823,7398,7665,6070,6023,6081,5962,5586,4766,3391,2549,1855,1543
0500000US05033,"Crawford County, Arkansas",62472,3877,3964,4887,4212,3577,3952,3715,4078,3705,4054,4240,4545,3598,3260,2694,1879,1162,1073
0500000US05035,"Crittenden County, Arkansas",49013,3743,3884,3510,3452,3334,3343,3124,3064,2752,2987,3316,2966,3043,2184,1673,1143,806,689
0500000US05037,"Cross County, Arkansas",16998,1118,1029,1221,1152,1001,919,908,932,1182,1076,1162,1180,1066,1070,801,638,342,201
0500000US05039,"Dallas County, Arkansas",7432,368,403,511,582,300,471,341,393,420,428,490,515,630,533,371,218,307,151
0500000US05041,"Desha County, Arkansas",11887,758,665,1103,858,583,721,654,623,635,642,760,797,932,688,558,437,174,299
0500000US05043,"Drew County, Arkansas",18502,1122,897,1291,1644,1820,1083,1108,774,1167,1114,1067,1188,1136,1008,639,596,505,343
0500000US05045,"Faulkner County, Arkansas",122416,7728,8619,7533,10067,13682,9202,8317,7363,7953,7253,7283,6813,6115,4745,4088,2434,1610,1611
0500000US05047,"Franklin County, Arkansas",17780,1001,1174,1155,1246,1130,992,936,913,1161,1083,1250,1092,1286,1042,801,694,414,410
0500000US05049,"Fulton County, Arkansas",12139,577,687,759,696,591,527,585,513,686,744,830,694,1179,945,806,381,488,451
0500000US05051,"Garland County, Arkansas",98296,5295,6322,4873,5647,5191,5750,5307,5476,5389,5935,6335,7396,6938,7135,5462,3988,3037,2820
